date,352
2015-07-30,17745.9805
2015-07-31,17689.8594
2015-08-03,17598.1992
2015-08-04,17550.6895
2015-08-05,17540.4707
2015-08-06,17419.75
2015-08-07,17373.3809
2015-08-10,17615.17
2015-08-11,17402.84
2015-08-12,17402.51
2015-08-13,17408.25
2015-08-14,17477.4
2015-08-17,17545.18
2015-08-18,17511.34
2015-08-19,17348.73
2015-08-20,16990.69
2015-08-21,16459.75
2015-08-24,15871.35
2015-08-25,15666.44
2015-08-26,16285.51
2015-08-27,16654.77
2015-08-28,16643.01
2015-08-31,16528.03
2015-09-01,16058.35
2015-09-02,16351.38
2015-09-03,16374.76
2015-09-04,16102.38
2015-09-08,16492.68
2015-09-09,16253.57
2015-09-10,16330.4
2015-09-11,16433.09
2015-09-14,16370.96
2015-09-15,16599.85
2015-09-16,16739.95
2015-09-17,16674.74
2015-09-18,16384.58
2015-09-21,16510.19
2015-09-22,16330.47
2015-09-23,16279.89
2015-09-24,16201.32
2015-09-25,16314.67
2015-09-28,16001.89
2015-09-29,16049.13
2015-09-30,16284.7
2015-10-01,16272.01
2015-10-02,16472.37
2015-10-05,16776.43
2015-10-06,16790.19
2015-10-07,16912.29
2015-10-08,17050.75
2015-10-09,17084.49
2015-10-12,17131.86
2015-10-13,17081.89
2015-10-14,16924.75
2015-10-15,17141.75
2015-10-16,17215.97
2015-10-19,17230.54
2015-10-20,17217.11
2015-10-21,17168.61
2015-10-22,17489.16
2015-10-23,17646.7
2015-10-26,17623.05
2015-10-27,17581.43
2015-10-28,17779.52
2015-10-29,17755.8
2015-10-30,17663.54
2015-11-02,17828.76
2015-11-03,17918.15
2015-11-04,17867.58
2015-11-05,17863.43
2015-11-06,17910.33
2015-11-09,17730.48
2015-11-10,17758.21
2015-11-11,17702.22
2015-11-12,17448.07
2015-11-13,17245.24
2015-11-16,17483.01
2015-11-17,17489.5
2015-11-18,17737.16
2015-11-19,17732.75
2015-11-20,17823.81
2015-11-23,17792.68
2015-11-24,17812.19
2015-11-25,17813.39
2015-11-27,17798.49
2015-11-30,17719.92
2015-12-01,17888.35
2015-12-02,17729.68
2015-12-03,17477.67
2015-12-04,17847.63
2015-12-07,17730.51
2015-12-08,17568.0
2015-12-09,17492.3
2015-12-10,17574.75
2015-12-11,17265.21
2015-12-14,17368.5
2015-12-15,17524.91
2015-12-16,17749.09
2015-12-17,17495.84
2015-12-18,17128.55
2015-12-21,17251.62
2015-12-22,17417.27
2015-12-23,17602.61
2015-12-24,17552.17
2015-12-28,17528.27
2015-12-29,17720.98
2015-12-30,17603.87
2015-12-31,17425.03
2016-01-04,17148.94
2016-01-05,17158.66
2016-01-06,16906.51
2016-01-07,16514.1
2016-01-08,16346.45
2016-01-11,16398.57
2016-01-12,16516.22
2016-01-13,16151.41
2016-01-14,16379.05
2016-01-15,15988.08
2016-01-19,16016.02
2016-01-20,15766.74
2016-01-21,15882.68
2016-01-22,16093.51
2016-01-25,15885.22
2016-01-26,16167.23
2016-01-27,15944.46
2016-01-28,16069.64
2016-01-29,16466.3
2016-02-01,16449.18
2016-02-02,16153.54
2016-02-03,16336.66
2016-02-04,16416.58
2016-02-05,16204.97
2016-02-08,16027.05
2016-02-09,16014.38
2016-02-10,15914.74
2016-02-11,15660.18
2016-02-12,15973.84
2016-02-16,16196.41
2016-02-17,16453.83
2016-02-18,16413.43
2016-02-19,16391.99
2016-02-22,16620.66
2016-02-23,16431.78
2016-02-24,16484.99
2016-02-25,16697.29
2016-02-26,16639.97
2016-02-29,16516.5
2016-03-01,16865.08
2016-03-02,16899.32
2016-03-03,16943.9
2016-03-04,17006.77
2016-03-07,17073.95
2016-03-08,16964.1
2016-03-09,17000.36
2016-03-10,16995.13
2016-03-11,17213.31
2016-03-14,17229.13
2016-03-15,17251.53
2016-03-16,17325.76
2016-03-17,17481.49
2016-03-18,17602.3
2016-03-21,17623.87
2016-03-22,17582.57
2016-03-23,17502.59
2016-03-24,17515.73
2016-03-28,17535.39
2016-03-29,17633.11
2016-03-30,17716.66
2016-03-31,17685.09
2016-04-01,17792.75
2016-04-04,17737.0
2016-04-05,17603.32
2016-04-06,17716.05
2016-04-07,17541.96
2016-04-08,17576.96
2016-04-11,17556.41
2016-04-12,17721.25
2016-04-13,17908.28
2016-04-14,17926.43
2016-04-15,17897.46
2016-04-18,18004.16
2016-04-19,18053.6
2016-04-20,18096.27
2016-04-21,17982.52
2016-04-22,18003.75
2016-04-25,17977.24
2016-04-26,17990.32
2016-04-27,18041.55
2016-04-28,17830.76
2016-04-29,17773.64
2016-05-02,17891.16
2016-05-03,17750.91
2016-05-04,17651.26
2016-05-05,17660.71
2016-05-06,17740.63
2016-05-09,17705.91
2016-05-10,17928.35
2016-05-11,17711.12
2016-05-12,17720.5
2016-05-13,17535.32
2016-05-16,17710.71
2016-05-17,17529.98
2016-05-18,17526.62
2016-05-19,17435.4
2016-05-20,17500.94
2016-05-23,17492.93
2016-05-24,17706.05
2016-05-25,17851.51
2016-05-26,17828.29
2016-05-27,17873.22
2016-05-31,17787.2
2016-06-01,17789.67
2016-06-02,17838.56
2016-06-03,17807.06
2016-06-06,17920.33
2016-06-07,17938.28
2016-06-08,18005.05
2016-06-09,17985.19
2016-06-10,17865.34
2016-06-13,17732.48
2016-06-14,17674.82
2016-06-15,17640.17
2016-06-16,17733.1
2016-06-17,17675.16
2016-06-20,17804.87
2016-06-21,17829.73
2016-06-22,17780.83
2016-06-23,18011.07
2016-06-24,17400.75
2016-06-27,17140.24
2016-06-28,17409.72
2016-06-29,17694.68
2016-06-30,17929.99
2016-07-01,17949.37
2016-07-05,17840.62
2016-07-06,17918.62
2016-07-07,17895.88
2016-07-08,18146.74
2016-07-11,18226.93
2016-07-12,18347.67
2016-07-13,18372.12
2016-07-14,18506.41
2016-07-15,18516.55
2016-07-18,18533.05
2016-07-19,18559.01
2016-07-20,18595.03
2016-07-21,18517.23
2016-07-22,18570.85
2016-07-25,18493.06
2016-07-26,18473.75
2016-07-27,18472.17
2016-07-28,18456.35
2016-07-29,18432.24
2016-08-01,18404.51
2016-08-02,18313.77
2016-08-03,18355.0
2016-08-04,18352.05
2016-08-05,18543.53
2016-08-08,18529.29
2016-08-09,18533.05
2016-08-10,18495.66
2016-08-11,18613.52
2016-08-12,18576.47
2016-08-15,18636.05
2016-08-16,18552.0195
2016-08-17,18573.9395
2016-08-18,18597.6992
2016-08-19,18552.5703
2016-08-22,18529.4199
2016-08-23,18547.3008
2016-08-24,18481.4805
2016-08-25,18448.4102
2016-08-26,18395.4004
2016-08-29,18502.9902
2016-08-30,18454.3008
2016-08-31,18400.8809
2016-09-01,18419.3008
2016-09-02,18491.9609
2016-09-06,18538.1191
2016-09-07,18526.1406
2016-09-08,18479.9102
2016-09-09,18085.4492
2016-09-12,18325.0703
2016-09-13,18066.75
2016-09-14,18034.7695
2016-09-15,18212.4805
2016-09-16,18123.8008
2016-09-19,18120.1699
2016-09-20,18129.9609
2016-09-21,18293.6992
2016-09-22,18392.4609
2016-09-23,18261.4492
2016-09-26,18094.8301
2016-09-27,18228.3008
2016-09-28,18339.2402
2016-09-29,18143.4492
2016-09-30,18308.1504
2016-10-03,18253.8496
2016-10-04,18168.4492
2016-10-05,18281.0293
2016-10-06,18268.5
2016-10-07,18240.4902
2016-10-10,18329.0391
2016-10-11,18128.6602
2016-10-12,18144.1992
2016-10-13,18098.9395
2016-10-14,18138.3809
2016-10-17,18086.4004
2016-10-18,18161.9395
2016-10-19,18202.6191
2016-10-20,18162.3496
2016-10-21,18145.7109
2016-10-24,18223.0293
2016-10-25,18169.2695
2016-10-26,18199.3301
2016-10-27,18169.6797
2016-10-28,18161.1895
2016-10-31,18142.4199
2016-11-01,18037.0996
2016-11-02,17959.6406
2016-11-03,17930.6699
2016-11-04,17888.2793
2016-11-07,18259.5996
2016-11-08,18332.7402
2016-11-09,18589.6895
2016-11-10,18807.8809
2016-11-11,18847.6602
2016-11-14,18868.6895
2016-11-15,18923.0605
2016-11-16,18868.1406
2016-11-17,18903.8203
2016-11-18,18867.9297
2016-11-21,18956.6895
2016-11-22,19023.8691
2016-11-23,19083.1797
2016-11-25,19152.1406
2016-11-28,19097.9004
2016-11-29,19121.5996
2016-11-30,19123.5801
2016-12-01,19191.9297
2016-12-02,19170.4199
2016-12-05,19216.2402
2016-12-06,19251.7793
2016-12-07,19549.6191
2016-12-08,19614.8105
2016-12-09,19756.85
2016-12-12,19796.4297
2016-12-13,19911.2109
2016-12-14,19792.5293
2016-12-15,19852.2402
2016-12-16,19843.41
2016-12-19,19883.0605
2016-12-20,19974.6191
2016-12-21,19941.9609
2016-12-22,19918.8809
2016-12-23,19933.8105
2016-12-27,19945.0391
2016-12-28,19833.6797
2016-12-29,19819.7793
2016-12-30,19762.5996
2017-01-03,19881.7598
2017-01-04,19942.1602
2017-01-05,19899.2891
2017-01-06,19963.8008
2017-01-09,19887.3809
2017-01-10,19855.5293
2017-01-11,19954.2793
2017-01-12,19891.0
2017-01-13,19885.7305
2017-01-17,19826.7695
2017-01-18,19804.7207
2017-01-19,19732.4004
2017-01-20,19827.25
2017-01-23,19799.8496
2017-01-24,19912.7109
2017-01-25,20068.5098
2017-01-26,20100.9102
2017-01-27,20093.7793
2017-01-30,19971.1309
2017-01-31,19864.0898
2017-02-01,19890.9395
2017-02-02,19884.9102
2017-02-03,20071.4609
2017-02-06,20052.4199
2017-02-07,20090.2891
2017-02-08,20054.3398
2017-02-09,20172.4004
2017-02-10,20269.3691
2017-02-13,20412.1602
2017-02-14,20504.4102
2017-02-15,20611.8594
2017-02-16,20619.7695
2017-02-17,20624.0508
2017-02-21,20743.0
2017-02-22,20775.5996
2017-02-23,20810.3203
2017-02-24,20821.7598
2017-02-27,20837.4395
2017-02-28,20812.2402
2017-03-01,21115.5508
2017-03-02,21002.9707
2017-03-03,21005.7109
2017-03-06,20954.3398
2017-03-07,20924.7598
2017-03-08,20855.7305
2017-03-09,20858.1895
2017-03-10,20902.9805
2017-03-13,20881.4805
2017-03-14,20837.3691
2017-03-15,20950.0996
2017-03-16,20934.5508
2017-03-17,20914.6191
2017-03-20,20905.8594
2017-03-21,20668.0098
2017-03-22,20661.3008
2017-03-23,20656.5801
2017-03-24,20596.7207
2017-03-27,20550.9805
2017-03-28,20701.5
2017-03-29,20659.3203
2017-03-30,20728.4902
2017-03-31,20663.2207
2017-04-03,20650.2109
2017-04-04,20689.2402
2017-04-05,20648.1504
2017-04-06,20662.9492
2017-04-07,20656.0996
2017-04-10,20658.0195
2017-04-11,20651.3008
2017-04-12,20591.8594
2017-04-13,20453.25
2017-04-17,20636.9199
2017-04-18,20523.2793
2017-04-19,20404.4902
2017-04-20,20578.7109
2017-04-21,20547.7598
2017-04-24,20763.8906
2017-04-25,20996.1191
2017-04-26,20975.0898
2017-04-27,20981.3301
2017-04-28,20940.5098
2017-05-01,20913.4609
2017-05-02,20949.8906
2017-05-03,20957.9004
2017-05-04,20951.4707
2017-05-05,21006.9395
2017-05-08,21012.2793
2017-05-09,20975.7793
2017-05-10,20943.1094
2017-05-11,20919.4199
2017-05-12,20896.6094
2017-05-15,20981.9395
2017-05-16,20979.75
2017-05-17,20606.9297
2017-05-18,20663.0195
2017-05-19,20804.8398
2017-05-22,20894.8301
2017-05-23,20937.9102
2017-05-24,21012.4199
2017-05-25,21082.9492
2017-05-26,21080.2793
2017-05-30,21029.4707
2017-05-31,21008.6504
2017-06-01,21144.1797
2017-06-02,21206.2891
2017-06-05,21184.0391
2017-06-06,21136.2305
2017-06-07,21173.6895
2017-06-08,21182.5293
2017-06-09,21271.9707
2017-06-12,21235.6699
2017-06-13,21328.4707
2017-06-14,21374.5605
2017-06-15,21359.9004
2017-06-16,21384.2793
2017-06-19,21528.9902
2017-06-20,21467.1406
2017-06-21,21410.0293
2017-06-22,21397.2891
2017-06-23,21394.7598
2017-06-26,21409.5508
2017-06-27,21310.6602
2017-06-28,21454.6094
2017-06-29,21287.0293
2017-06-30,21349.63
2017-07-03,21479.2695
2017-07-05,21478.1699
2017-07-06,21320.0391
2017-07-07,21414.3398
2017-07-10,21408.5195
2017-07-11,21409.0703
2017-07-12,21532.1406
2017-07-13,21553.0898
2017-07-14,21637.7402
2017-07-17,21629.7207
2017-07-18,21574.7305
2017-07-19,21640.75
2017-07-20,21611.7793
2017-07-21,21580.0703
2017-07-24,21513.1699
2017-07-25,21613.4297
2017-07-26,21711.0098
2017-07-27,21796.5508
2017-07-28,21830.3105
2017-07-31,21891.1191
2017-08-01,21963.9199
2017-08-02,22016.2402
2017-08-03,22026.0996
2017-08-04,22092.8105
2017-08-07,22118.4199
2017-08-08,22085.3398
2017-08-09,22048.6992
2017-08-10,21844.0098
2017-08-11,21858.3203
2017-08-14,21993.7109
2017-08-15,21998.9902
2017-08-16,22024.8691
2017-08-17,21750.7305
2017-08-18,21674.5098
2017-08-21,21703.75
2017-08-22,21899.8906
2017-08-23,21812.0898
2017-08-24,21783.4004
2017-08-25,21813.6699
2017-08-28,21808.4004
2017-08-29,21865.3691
2017-08-30,21892.4297
2017-08-31,21948.0996
2017-09-01,21987.5605
2017-09-05,21753.3105
2017-09-06,21807.6406
2017-09-07,21784.7793
2017-09-08,21797.7891
2017-09-11,22057.3691
2017-09-12,22118.8594
2017-09-13,22158.1797
2017-09-14,22203.4805
2017-09-15,22268.3398
2017-09-18,22331.3496
2017-09-19,22370.8008
2017-09-20,22412.5898
2017-09-21,22359.2305
2017-09-22,22349.5898
2017-09-25,22296.0898
2017-09-26,22284.3203
2017-09-27,22340.7109
2017-09-28,22381.1992
2017-09-29,22405.0898
2017-10-02,22557.5996
2017-10-03,22641.6699
2017-10-04,22661.6406
2017-10-05,22775.3906
2017-10-06,22773.6699
2017-10-09,22761.0703
2017-10-10,22830.6797
2017-10-11,22872.8906
2017-10-12,22841.0098
2017-10-13,22871.7207
2017-10-16,22956.9609
2017-10-17,22997.4395
2017-10-18,23157.5996
2017-10-19,23163.0391
2017-10-20,23328.6309
2017-10-23,23273.9609
2017-10-24,23441.7598
2017-10-25,23329.4609
2017-10-26,23400.8594
2017-10-27,23434.1895
2017-10-30,23348.7402
2017-10-31,23377.2402
2017-11-01,23435.0098
2017-11-02,23516.2598
2017-11-03,23539.1895
2017-11-06,23548.4199
2017-11-07,23557.2305
2017-11-08,23563.3594
2017-11-09,23461.94
2017-11-10,23422.21
2017-11-13,23439.7
2017-11-14,23409.47
2017-11-15,23271.28
2017-11-16,23458.36
2017-11-17,23358.24
2017-11-20,23430.33
2017-11-21,23590.83
2017-11-22,23526.18
2017-11-24,23557.99
2017-11-27,23580.78
2017-11-28,23836.71
2017-11-29,23940.68
2017-11-30,24272.35
2017-12-01,24231.59
2017-12-04,24290.05
2017-12-05,24180.64
2017-12-06,24140.91
2017-12-07,24211.48
2017-12-08,24329.16
2017-12-11,24386.03
2017-12-12,24504.8
2017-12-13,24585.43
2017-12-14,24508.66
2017-12-15,24651.74
2017-12-18,24792.2
2017-12-19,24754.75
2017-12-20,24726.65
2017-12-21,24782.29
2017-12-22,24754.06
2017-12-26,24746.21
2017-12-27,24774.3
2017-12-28,24837.51
2017-12-29,24719.22
2018-01-02,24824.01
2018-01-03,24922.68
2018-01-04,25075.13
2018-01-05,25295.87
2018-01-08,25283.0
2018-01-09,25385.8
2018-01-10,25369.13
2018-01-11,25574.73
2018-01-12,25803.19
2018-01-16,25792.86
2018-01-17,26115.65
2018-01-18,26017.81
2018-01-19,26071.72
2018-01-22,26214.6
2018-01-23,26210.81
2018-01-24,26252.12
2018-01-25,26392.79
2018-01-26,26616.71
2018-01-29,26439.48
2018-01-30,26076.89
2018-01-31,26149.39
2018-02-01,26186.71
2018-02-02,25520.96
2018-02-05,24345.75
2018-02-06,24912.77
2018-02-07,24893.35
2018-02-08,23860.46
2018-02-09,24190.9
2018-02-12,24601.27
2018-02-13,24640.45
2018-02-14,24893.49
2018-02-15,25200.37
2018-02-16,25219.38
2018-02-20,24964.75
2018-02-21,24797.78
2018-02-22,24962.48
2018-02-23,25309.99
2018-02-26,25709.27
2018-02-27,25410.03
2018-02-28,25029.2
2018-03-01,24608.98
2018-03-02,24538.06
2018-03-05,24874.76
2018-03-06,24884.12
2018-03-07,24801.36
2018-03-08,24895.21
2018-03-09,25335.74
2018-03-12,25178.61
2018-03-13,25007.03
2018-03-14,24758.12
2018-03-15,24873.66
2018-03-16,24946.51
2018-03-19,24610.91
2018-03-20,24727.27
2018-03-21,24682.31
2018-03-22,23957.89
2018-03-23,23533.2
2018-03-26,24202.6
2018-03-27,23857.71
2018-03-28,23848.42
2018-03-29,24103.11
2018-04-02,23644.19
2018-04-03,24033.36
2018-04-04,24264.3
2018-04-05,24505.22
2018-04-06,23932.76
2018-04-09,23979.1
2018-04-10,24408.0
2018-04-11,24189.45
2018-04-12,24483.05
2018-04-13,24360.14
2018-04-16,24573.04
2018-04-17,24786.63
2018-04-18,24748.07
2018-04-19,24664.89
2018-04-20,24462.94
2018-04-23,24448.69
2018-04-24,24024.13
2018-04-25,24083.83
2018-04-26,24322.34
2018-04-27,24311.19
2018-04-30,24163.15
2018-05-01,24099.05
2018-05-02,23924.98
2018-05-03,23930.15
2018-05-04,24262.51
2018-05-07,24357.32
2018-05-08,24338.0195
2018-05-09,24542.54
2018-05-10,24740.22
2018-05-11,24831.17
2018-05-14,24899.41
2018-05-15,24706.41
2018-05-16,24768.93
2018-05-17,24713.98
2018-05-18,24715.09
2018-05-21,25013.29
2018-05-22,24834.41
2018-05-23,24886.81
2018-05-24,24811.76
2018-05-25,24753.09
2018-05-29,24361.45
2018-05-30,24667.78
2018-05-31,24415.84
2018-06-01,24635.21
2018-06-04,24813.69
2018-06-05,24799.98
2018-06-06,25146.39
2018-06-07,25241.41
2018-06-08,25316.53
2018-06-11,25322.31
2018-06-12,25320.73
2018-06-13,25201.2
2018-06-14,25175.31
2018-06-15,25090.48
2018-06-18,24987.47
2018-06-19,24700.21
2018-06-20,24657.8
2018-06-21,24461.7
2018-06-22,24580.89
2018-06-25,24252.8
2018-06-26,24283.11
2018-06-27,24117.59
2018-06-28,24216.05
2018-06-29,24271.41
2018-07-02,24307.18
2018-07-03,24174.82
2018-07-05,24356.74
2018-07-06,24456.48
2018-07-09,24776.59
2018-07-10,24919.66
2018-07-11,24700.45
2018-07-12,24924.89
2018-07-13,25019.41
2018-07-16,25064.36
2018-07-17,25119.89
2018-07-18,25199.29
2018-07-19,25064.5
2018-07-20,25058.12
2018-07-23,25035.2695
2018-07-24,25241.94
2018-07-25,25414.1
2018-07-26,25527.07
2018-07-27,25451.06
2018-07-30,25306.83
2018-07-31,25415.19
2018-08-01,25333.82
2018-08-02,25326.16
2018-08-03,25462.58
2018-08-06,25502.18
2018-08-07,25628.91
2018-08-08,25583.75
2018-08-09,25509.23
2018-08-10,25313.14
2018-08-13,25187.7
2018-08-14,25299.92
2018-08-15,25162.41
2018-08-16,25558.73
2018-08-17,25669.32
2018-08-20,25758.69
2018-08-21,25822.29
2018-08-22,25733.6
2018-08-23,25656.98
2018-08-24,25790.35
2018-08-27,26049.64
2018-08-28,26064.02
2018-08-29,26124.57
2018-08-30,25986.92
2018-08-31,25964.82
2018-09-04,25952.48
2018-09-05,25974.99
2018-09-06,25995.87
2018-09-07,25916.54
2018-09-10,25857.07
2018-09-11,25971.06
2018-09-12,25998.92
2018-09-13,26145.99
2018-09-14,26154.67
2018-09-17,26062.12
2018-09-18,26246.96
2018-09-19,26405.76
2018-09-20,26656.98
2018-09-21,26743.5
2018-09-24,26562.05
2018-09-25,26492.21
2018-09-26,26385.28
2018-09-27,26439.93
2018-09-28,26458.31
2018-10-01,26651.21
2018-10-02,26773.94
2018-10-03,26828.39
2018-10-04,26627.48
2018-10-05,26447.05
2018-10-08,26486.78
2018-10-09,26430.57
2018-10-10,25598.74
2018-10-11,25052.83
2018-10-12,25339.99
2018-10-15,25250.55
2018-10-16,25798.42
2018-10-17,25706.68
2018-10-18,25379.45
2018-10-19,25444.34
2018-10-22,25317.41
2018-10-23,25191.43
2018-10-24,24583.42
2018-10-25,24984.55
2018-10-26,24688.31
2018-10-29,24442.92
2018-10-30,24874.64
2018-10-31,25115.76
2018-11-01,25380.74
2018-11-02,25270.83
2018-11-05,25461.7
2018-11-06,25635.01
2018-11-07,26180.3
2018-11-08,26191.22
2018-11-09,25989.3
2018-11-12,25387.18
2018-11-13,25286.49
2018-11-14,25080.5
2018-11-15,25289.27
2018-11-16,25413.22
2018-11-19,25017.44
2018-11-20,24465.64
2018-11-21,24464.69
2018-11-23,24285.95
2018-11-26,24640.24
2018-11-27,24748.73
2018-11-28,25366.43
2018-11-29,25338.84
2018-11-30,25538.46
2018-12-01,25367.3106
2018-12-03,25826.43
2018-12-04,25027.07
2018-12-06,24947.67
2018-12-07,24388.95
2018-12-08,24724.9805
2018-12-10,24423.26
2018-12-11,24370.24
2018-12-12,24527.27
2018-12-13,24597.38
2018-12-14,24100.51
2018-12-15,23928.76
2018-12-17,23592.98
2018-12-18,23675.64
2018-12-19,23323.66
2018-12-20,22859.6
2018-12-21,22445.37
2018-12-24,21792.2
2018-12-26,22878.45
2018-12-27,23138.82
2018-12-28,23062.4
2018-12-31,23327.46
2019-01-02,23346.24
2019-01-03,22686.22
2019-01-04,23433.16
2019-01-07,23531.35
2019-01-08,23787.45
2019-01-09,23879.12
2019-01-10,24001.92
2019-01-11,23970.1309
2019-01-14,23909.84
2019-01-15,24065.59
2019-01-16,24207.16
2019-01-17,24370.1
2019-01-18,24706.35
2019-01-22,24404.48
2019-01-23,24575.62
2019-01-24,24553.24
2019-01-25,24737.2
2019-01-28,24528.22
2019-01-29,24579.96
2019-01-30,25014.86
2019-01-31,24999.67
2019-02-01,25063.89
2019-02-04,25239.37
2019-02-05,25411.52
2019-02-06,25390.3
2019-02-07,25169.53
2019-02-08,25106.33
2019-02-11,25053.11
2019-02-12,25425.76
2019-02-13,25543.27
2019-02-14,25439.39
2019-02-15,25883.25
2019-02-19,25891.32
2019-02-20,25954.44
2019-02-21,25850.63
2019-02-22,26031.81
2019-02-25,26091.95
2019-02-26,26057.98
2019-02-27,25985.16
2019-02-28,25916.0
2019-03-01,26026.32
2019-03-04,25819.65
2019-03-05,25806.63
2019-03-06,25673.46
2019-03-07,25473.23
2019-03-08,25450.24
2019-03-11,25650.88
2019-03-12,25554.66
2019-03-13,25702.89
2019-03-14,25709.94
2019-03-15,25848.87
2019-03-18,25914.1
2019-03-19,25887.38
2019-03-20,25745.67
2019-03-21,25962.51
2019-03-22,25502.32
2019-03-25,25516.83
2019-03-26,25657.73
2019-03-27,25625.59
2019-03-28,25717.46
2019-03-29,25928.68
2019-04-01,26258.42
2019-04-02,26155.55
